#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-05-03T17:16:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5728dbdc0e7e 
#INFO -out.max=1000 
#INFO queryParameters=22 
#-oc.form=sexa
#-out.max=1000
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43&HTTPPRM:&&-ref=VIZ5728dbdc0e7e&Clear= Clear&-c.r=  2&-order=I&-out.src=J/A+A/559/A43/table6&-out=rc&-out=RV&-out=Vpar&-out=Vperp&-out=M&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-out=W1mag&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-oc.form=sexa&-c.geom=r&-out.max=1000&-out.form=ascii text/plain&undefined=CDS, France&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/559/A43/table6
#-order=I
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#-out=M
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#XV=XV
#Sloan=Sloan
#
#
#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#---Details of Columns:
#    rc (pc)      (F5.2)  [0/30] Distance from the cluster centre [ucd=phys.size.radius]
#    RV (km/s)    (F5.2)  [16/46] Predicted radial velocity [ucd=phys.veloc;pos.heliocentric]
#    Vpar (km/s)  (F5.2)  [5/43] Tangential velocity in direction of the convergent point [ucd=phys.veloc.transverse]
#    Vperp (km/s) (F5.2)  [-5/4] Tangential velocity in direction perpendicular to the convergent point [ucd=phys.veloc.transverse]
#    M (Msun)     (F5.2)  [0.09/2.6] Mass of the star [ucd=phys.mass]
#    Jmag (mag)   (F6.3)  2MASS J band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.J]
#    e_Jmag (mag) (F6.3)  Error of Jmag [ucd=stat.error;phot.mag;em.IR.J]
#    Hmag (mag)   (F6.3)  2MASS H band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.H]
#    e_Hmag (mag) (F6.3)  Error of Hmag [ucd=stat.error;phot.mag;em.IR.H]
#    Kmag (mag)   (F6.3)  2MASS Ks band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.K]
#    e_Kmag (mag) (F6.3)  Error of Kmag [ucd=stat.error;phot.mag;em.IR.K]
#----- ----- ----- ----- ----- ------ ------ ------ ------ ------ ------
#            V     Vp                                                   
#rc    RV (  par ( erp ( M (   Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag
#(pc)  km/s) km/s) km/s) Msun) (mag)  (mag)  (mag)  (mag)  (mag)  (mag) 
#----- ----- ----- ----- ----- ------ ------ ------ ------ ------ ------
# rc    RV   Vpar  Vperp Mass  Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag
 9.64 38.92 23.36 -0.82  0.40 10.885  0.027 10.207  0.034 10.010  0.019
 7.01 39.41 22.51 -0.33  0.38 10.892  0.025 10.349  0.034 10.084  0.019
22.88 40.12 21.23 -1.28  0.60 10.248  0.020  9.611  0.022  9.395  0.017
 2.88 39.93 21.58  0.12  0.87  8.002  0.020  7.528  0.021  7.396  0.016
12.72 40.33 20.82  1.12  0.41 10.638  0.026 10.035  0.026  9.741  0.026
 6.75 38.77 23.60 -0.98  0.46 10.191  0.020  9.531  0.019  9.316  0.016
22.70 36.63 26.81  3.94  0.29 11.889  0.023 11.319  0.031 11.056  0.018
 6.18 40.52 20.44 -0.50  1.78  4.962  0.248  4.732  0.027  4.733  0.020
20.84 39.94 21.57  0.87  0.36 11.579  0.021 10.988  0.022 10.725  0.018
 8.75 40.00 21.46  0.93  0.26 11.802  0.020 11.295  0.022 10.948  0.018
 4.96 39.89 21.66 -2.33  0.43 10.561  0.026  9.904  0.032  9.655  0.020
11.79 40.06 21.35 -0.84  0.23 12.163  0.023 11.551  0.023 11.252  0.021
 6.96 40.45 20.59  0.53  0.66  9.366  0.026  8.669  0.031  8.436  0.021
10.62 40.18 21.11 -0.35  0.24 12.009  0.021 11.465  0.022 11.143  0.018
18.42 40.63 20.23  0.38  2.14  4.996  0.018  5.023  0.031  4.974  0.020
 7.69 40.30 20.88 -1.55  0.23 11.922  0.021 11.314  0.023 11.067  0.021
 8.76 40.76 19.97  0.77  0.43 10.395  0.023  9.817  0.031  9.522  0.020
11.05 40.69 20.11  0.19  0.73  8.570  0.018  7.984  0.036  7.826  0.020
 3.56 40.13 21.20 -0.23  0.25 11.467  0.022 10.867  0.022 10.618  0.018
 4.33 40.38 20.72  0.30  1.09  7.098  0.026  6.843  0.020  6.738  0.033
 7.59 40.80 19.89 -2.30  1.30  6.150  0.018  5.878  0.029  5.841  0.020
23.33 38.98 23.26 -3.18  0.28 11.541  0.026 11.003  0.022 10.689  0.023
 4.71 40.15 21.17  0.71  0.89  7.798  0.037  7.298  0.018  7.171  0.024
 5.35 40.63 20.23  0.36  0.36 10.896  0.020 10.275  0.022 10.017  0.017
16.43 37.57 25.47 -2.27  0.28 11.739  0.026 11.152  0.032 10.905  0.020
19.04 40.41 20.68 -0.54  0.90  8.460  0.023  8.062  0.023  8.013  0.021
 6.55 39.71 21.98 -0.24  0.82  7.966  0.027  7.436  0.023  7.337  0.021
 6.94 39.13 23.01  0.63  0.61  9.281  0.022  8.643  0.023  8.412  0.017
17.60 40.14 21.18  1.08  0.15 12.669  0.027 12.090  0.027 11.742  0.023
 4.85 40.62 20.26  1.09  0.18 12.328  0.036 11.739  0.036 11.356  0.025
11.33 40.86 19.77  1.23  0.65  8.651  0.023  8.025  0.053  7.875  0.026
 6.60 39.41 22.51  0.78  0.14 12.883  0.021 12.269  0.024 11.965  0.020
 9.09 39.34 22.64  0.91  0.78  8.690  0.039  8.134  0.026  7.995  0.033
 4.10 40.53 20.43  0.36  0.67  8.910  0.026  8.309  0.016  8.170  0.017
15.01 40.83 19.82  0.73  0.44 10.847  0.022 10.246  0.031  9.984  0.020
 5.71 40.15 21.18 -1.06  1.06  7.217  0.019  6.901  0.024  6.837  0.018
29.95 36.27 27.28 -1.46  0.45 10.350  0.022  9.731  0.022  9.471  0.020
12.56 38.70 23.71 -1.28  0.65  8.430  0.018  7.877  0.023  7.717  0.027
13.70 40.73 20.04 -0.55  0.36 11.337  0.021 10.713  0.024 10.455  0.018
18.83 40.91 19.66  0.95  0.27 12.053  0.023 11.460  0.027 11.152  0.022
15.35 38.85 23.47  1.67  0.48 10.631  0.021 10.011  0.019  9.771  0.018
 4.25 40.33 20.82  0.03  0.89  8.214  0.026  7.592  0.042  7.374  0.023
18.71 35.66 28.08 -2.99  0.17 12.494  0.021 11.922  0.019 11.624  0.019
13.54 39.89 21.66 -1.74  0.17 12.783  0.021 12.165  0.023 11.874  0.022
 3.93 40.45 20.59 -1.34  0.59  9.415  0.024  8.773  8.888  8.543  0.017
 7.26 40.16 21.15  0.17  0.28 11.581  0.020 10.996  0.022 10.708  0.019
 5.37 39.80 21.83  3.53  0.94  7.522  0.023  7.153  0.021  7.072  0.018
13.28 40.53 20.44  0.81  0.91  8.233  0.029  7.830  0.017  7.737  0.021
 4.92 40.57 20.34 -0.40  0.34 11.001  0.026 10.418  0.025 10.131  0.018
 4.80 40.21 21.06 -1.11  0.99  7.486  0.024  7.141  0.024  7.059  0.026
 4.68 40.75 19.98 -1.11  0.29 11.245  0.024 10.639  0.027 10.348  0.018
20.70 40.34 20.80  1.40  0.56 10.472  0.024  9.836  0.027  9.605  0.017
 8.22 39.12 23.01  0.25  1.03  7.582  0.027  7.120  0.038  6.956  0.038
 6.46 40.15 21.17 -1.82  0.22 11.929  0.022 11.339  0.023 11.048  0.019
 4.48 40.59 20.32  0.61  1.19  6.642  0.021  6.433  0.021  6.355  0.016
20.09 39.75 21.91 -0.32  0.61 10.097  0.021  9.444  0.022  9.220  0.017
 4.47 40.46 20.56 -1.29  0.24 11.652  0.020 11.009  0.022 10.754  0.018
 9.68 41.07 19.33  1.15  0.39 10.461  0.021  9.886  0.026  9.627  0.022
10.54 38.63 23.84 -1.28  0.27 11.067  0.020 10.496  0.022 10.205  0.021
 4.26 40.57 20.35  0.74  0.76  8.485  0.020  7.968  0.018  7.839  0.016
 5.41 40.00 21.45 -0.37  0.46 10.281  0.021  9.628  0.022  9.387  0.017
 6.03 40.51 20.48  1.11  1.26  6.002  0.018  5.725  0.023  5.666  0.020
 4.79 40.75 19.98  0.69  1.19  6.439  0.027  6.133  0.033  6.044  0.020
 5.03 40.24 20.99 -1.21  0.18 12.181  0.021 11.574  0.022 11.293  0.020
 5.37 40.66 20.18  0.18  1.30  6.321  0.029  6.146  0.020  6.061  0.016
14.24 40.83 19.83  0.53  0.21 11.858  0.024 11.185  0.024 10.953  0.023
 5.55 40.80 19.88  1.24  0.67  8.796  0.027  8.145  0.026  7.967  0.020
 6.38 41.10 19.26  0.67  1.40  5.710  0.030  5.523  0.036  5.436  0.016
 8.58 41.19 19.08 -1.28  0.17 12.082  0.022 11.488  0.031 11.190  0.020
 6.82 40.36 20.76 -0.02  2.04  4.972  0.264  4.566  0.036  4.492  0.016
14.60 40.79 19.92  1.05  1.26  6.930  0.032  6.686  0.017  6.671  0.021
25.66 40.91 19.66 -0.97  0.88  8.960  0.024  8.424  0.020  8.288  0.015
10.17 40.61 20.27  0.74  0.73  9.015  0.020  8.431  0.021  8.279  0.018
 9.46 40.98 19.51  1.48  1.41  5.235  0.029  5.030  0.018  4.941  0.015
 7.74 41.22 18.99  0.66  0.19 11.965  0.023 11.343  0.030 11.079  0.018
 8.41 40.42 20.65  0.49  0.85  8.375  0.027  7.885  0.027  7.742  0.020
14.88 41.21 19.02  0.54  0.65  9.633  0.021  8.973  0.023  8.772  0.022
 9.20 39.83 21.76  0.28  0.70  9.073  0.020  8.462  0.024  8.293  0.017
24.04 41.17 19.11 -2.72  0.92  8.519  0.029  8.187  0.023  8.090  0.018
 8.23 41.39 18.64  0.81  0.25 11.308  0.023 10.742  0.029 10.445  0.026
23.54 39.17 22.93  1.09  0.81  7.607  0.023  7.097  0.038  6.956  0.021
 9.60 41.44 18.52 -0.54  0.27 11.541  0.026 11.026  0.034 10.720  0.022
 5.79 40.50 20.50  0.28  0.46 10.163  0.021  9.491  0.022  9.277  0.017
17.18 40.55 20.40  0.37  1.72  5.736  0.026  5.658  0.017  5.623  0.018
15.77 40.26 20.97 -1.81  0.24 12.169  0.021 11.552  0.022 11.263  0.018
15.19 38.98 23.26  3.34  0.15 12.896  0.022 12.332  0.018 12.028  0.023
10.61 40.32 20.85  1.31  0.26 11.777  0.020 11.136  0.022 10.892  0.018
10.05 39.71 21.98 -0.05  0.37 10.934  0.021 10.355  0.023 10.092  0.019
13.67 40.22 21.03 -0.05  0.16 12.877  0.023 12.282  0.024 11.994  0.023
 8.73 40.33 20.82  0.64  0.35 11.138  0.022 10.504  0.021 10.247  0.017
11.36 41.37 18.68 -1.28  0.78  8.762  0.026  8.266  0.024  8.119  0.017
19.45 40.36 20.76 -1.42  0.25 12.205  0.021 11.630  0.021 11.331  0.018
10.60 41.40 18.61 -0.83  0.24 11.920  0.023 11.340  0.028 11.081  0.021
18.85 41.17 19.12  0.89  0.37 11.438  0.026 10.848  0.030 10.589  0.019
 9.99 41.42 18.56  0.40  1.02  7.569  0.019  7.268  0.055  7.235  0.017
 9.33 41.39 18.62 -1.33  0.32 11.304  0.026 10.707  0.031 10.459  0.022
21.31 35.06 28.83 -3.68  1.34  6.168  0.021  5.913  0.018  5.862  0.018
21.74 41.12 19.21 -1.85  0.24 12.056  0.022 11.440  0.022 11.166  0.023
 7.35 40.82 19.84 -0.71  0.15 12.677  0.022 12.113  0.025 11.815  0.021
17.40 41.01 19.45  2.92  1.34  5.982  0.023  5.709  0.031  5.627  0.017
 9.44 41.26 18.92 -0.08  0.23 11.980  0.024 11.320  0.030 11.084  0.026
 7.16 41.65 18.05  0.40  0.20 11.838  0.023 11.225  0.023 10.948  0.016
17.30 41.83 17.63 -0.91  0.90  8.559  0.030  7.947  0.042  7.793  0.027
 9.14 41.77 17.77  1.42  0.50 10.186  0.024  9.528  0.030  9.295  0.022
 6.62 41.38 18.66  0.29  1.36  5.856  0.024  5.694  0.033  5.645  0.016
14.19 40.83 19.83  2.50  0.89  8.297  0.030  7.902  0.024  7.829  0.029
17.44 41.16 19.14  2.29  0.53  9.759  0.021  9.199  0.026  8.906  0.023
 6.55 41.40 18.61 -0.55  0.20 11.800  0.023 11.211  0.031 10.926  0.022
13.30 41.89 17.48  1.50  0.34 11.236  0.024 10.625  0.022 10.367  0.021
12.43 41.91 17.43  0.76  0.85  8.113  0.023  7.692  0.036  7.589  0.026
16.31 42.93 14.73  1.07  0.63  9.699  0.022  9.028  0.031  8.853  0.020
 6.52 41.09 19.29 -1.25  0.19 12.053  0.022 11.420  0.020 11.118  0.019
25.91 41.46 18.47 -0.08  0.23 12.567  0.021 12.000  0.023 11.708  0.018
20.52 38.71 23.71  2.26  0.90  8.470  0.023  7.984  0.018  7.874  0.017
25.50 42.00 17.21  2.42  0.19 12.836  0.024 12.265  0.030 11.996  0.021
 7.70 41.71 17.90  1.02  0.68  8.754  0.021  8.104  0.017  7.918  0.020
 9.16 41.83 17.62  0.21  0.80  8.720  0.021  8.113  0.029  7.869  0.024
15.09 41.82 17.64  0.41  0.17 12.766  0.021 12.176  0.021 11.876  0.019
10.22 40.78 19.94  0.39  2.27  4.333  0.320  4.375  0.208  4.245  0.021
13.86 41.11 19.25 -1.03  0.18 12.662  0.023 12.049  0.022 11.754  0.020
 6.93 41.21 19.02  2.09  0.62  9.225  0.022  8.575  0.020  8.408  0.017
10.86 41.84 17.60  0.30  1.00  7.629  0.032  7.303  0.018  7.226  0.027
12.36 42.06 17.05  2.02  0.16 12.279  0.024 11.691  0.026 11.423  0.021
 9.26 41.37 18.68 -0.19  0.18 12.434  0.021 11.858  0.022 11.547  0.020
24.21 41.51 18.35 -0.88  0.59 10.342  0.026  9.704  0.024  9.490  0.020
17.26 36.84 26.51 -2.28  0.15 12.111  0.020 11.493  0.023 11.215  0.020
11.90 42.30 16.46  0.42  0.87  8.127  0.027  7.631  0.031  7.518  0.021
10.82 41.60 18.15 -0.40  1.03  7.514  0.018  7.216  0.046  7.128  0.017
 9.59 42.16 16.82 -0.82  0.25 11.756  0.027 11.130  0.030 10.839  0.019
 8.73 42.06 17.05 -0.93  0.46 10.416  0.032  9.800  0.036  9.524  0.023
20.19 41.56 18.24  0.40  0.75  9.276  0.022  8.696  0.023  8.565  0.017
21.72 41.04 19.38 -1.68  0.64  9.908  0.024  9.234  0.023  9.037  0.017
 8.49 42.31 16.43  0.13  0.93  7.640  0.024  7.181  0.040  7.084  0.018
29.12 41.54 18.30  0.08  0.53 10.797  0.022 10.180  0.022  9.943  0.017
11.24 42.51 15.92  0.22  1.91  4.965  0.026  4.929  0.023  4.861  0.023
18.70 42.57 15.74 -0.81  0.51 10.526  0.024  9.929  0.026  9.653  0.020
17.10 39.76 21.90 -0.96  1.77  5.545  0.019  5.484  0.020  5.427  0.016
16.49 39.76 21.90 -0.62  1.09  7.366  0.020  7.037  0.020  6.953  0.017
29.44 39.61 22.16  0.03  0.18 12.577  0.022 11.986  0.023 11.632  0.022
17.66 42.55 15.79  0.53  0.68  9.492  0.027  8.847  0.029  8.683  0.021
29.65 42.41 16.17  2.22  0.44 11.181  0.024 10.642  0.029 10.326  0.025
27.37 41.87 17.53 -2.58  0.17 12.891  0.022 12.297  0.025 11.989  0.026
 9.64 42.42 16.14 -1.79  0.39 10.800  0.027 10.155  0.029  9.923  0.020
26.79 41.96 17.32 -0.39  0.40 11.497  0.026 10.895  0.030 10.620  0.018
13.48 42.18 16.77  0.00  0.79  8.974  0.018  8.277  0.024  8.102  0.017
29.54 42.72 15.33  1.36  0.89  8.822  0.041  8.415  0.031  8.245  0.034
22.85 42.74 15.29  0.45  0.28 12.001  0.024 11.406  0.027 11.108  0.019
 9.09 41.92 17.41 -0.50  0.61  9.470  0.026  8.954  0.040  8.597  0.029
13.56 39.67 22.06  0.63  0.35 10.880  0.021 10.257  0.022 10.035  0.018
13.50 41.70 17.93  0.07  0.33 11.312  0.029 10.773  0.040 10.498  0.030
20.74 39.73 21.95  0.09  0.23 12.242  0.022 11.587  0.022 11.353  0.017
17.22 42.85 14.96  1.12  0.32 11.590  0.024 11.023  0.033 10.720  0.023
14.15 42.25 16.59 -0.33  0.17 12.629  0.023 12.050  0.021 11.757  0.018
24.17 40.56 20.37  1.34  1.06  6.820  0.027  6.400  0.031  6.280  0.033
17.77 42.97 14.62 -1.66  0.36 11.351  0.022 10.692  0.027 10.467  0.018
16.54 42.66 15.51  0.59  0.23 11.595  0.026 10.973  0.024 10.687  0.023
23.63 41.19 19.06  0.78  0.33 11.071  0.024 10.499  0.024 10.171  0.022
26.86 39.56 22.25 -3.52  0.12 12.808  0.026 12.264  0.022 11.934  0.023
25.76 40.48 20.53 -2.67  0.50 10.765  0.022 10.149  0.022  9.911  0.018
19.29 42.44 16.10  0.35  0.48  9.952  0.024  9.307  0.022  9.075  0.024
16.51 43.12 14.17 -0.34  1.03  7.696  0.023  7.397  0.061  7.302  0.021
19.83 43.28 13.69  0.54  0.80  8.983  0.024  8.370  0.033  8.226  0.023
14.13 40.34 20.81  1.07  0.12 13.178  0.026 12.599  0.020 12.300  0.023
15.06 39.74 21.92  1.72  0.56  9.406  0.022  8.786  0.021  8.526  0.017
18.50 42.94 14.71 -1.02  0.60  9.445  0.024  8.784  0.057  8.600  0.019
23.16 42.67 15.48  2.49  0.31 11.798  0.021 11.226  0.022 10.965  0.017
28.10 42.67 15.47  1.31  0.37 11.669  0.022 11.046  0.022 10.821  0.018
15.16 40.42 20.66 -1.21  0.27 11.010  0.019 10.357  0.015 10.102  0.019
25.74 43.52 12.88 -1.05  0.64  9.868  0.023  9.290  0.033  9.112  0.020
26.92 42.99 14.55  0.38  0.33 11.645  0.024 11.084  0.022 10.743  0.019
20.86 42.22 16.65 -1.68  0.65  9.781  0.020  9.122  0.022  8.913  0.018
17.92 43.34 13.50  0.38  0.23 11.716  0.022 11.139  0.022 10.898  0.019
28.29 43.50 12.94  1.95  1.20  7.418  0.029  7.177  0.055  7.086  0.027
16.63 43.57 12.72  1.57  0.27 11.231  0.023 10.635  0.022 10.399  0.022
20.04 43.60 12.63 -0.94  0.19 12.561  0.023 11.968  0.031 11.690  0.022
21.67 39.45 22.45 -3.60  0.99  7.978  0.019  7.527  0.017  7.420  0.018
18.98 43.73 12.17 -0.31  0.22 12.024  0.026 11.420  0.024 11.100  0.022
27.12 43.81 11.87  0.89  1.40  6.611  0.019  6.485  0.031  6.370  0.024
28.37 43.56 12.76 -1.37  0.71  9.493  0.022  8.855  0.040  8.702  0.023
29.50 44.00 11.15  1.19  0.38 11.591  0.027 10.978  0.023 10.728  0.021
27.17 44.07 10.88  1.14  0.34 11.612  0.024 11.032  0.022 10.773  0.019
14.86 43.43 13.17 -0.44  1.87  5.062  0.020  5.002  0.024  4.935  0.029
25.28 42.33 16.37  1.16  0.27 11.397  0.023 10.798  0.025 10.518  0.021
24.11 38.75 23.63 -1.86  0.43 10.837  0.023 10.248  0.022  9.970  0.018
28.27 39.67 22.05 -0.58  0.86  8.731  0.024  8.233  0.020  8.135  0.017
17.77 44.25 10.11  0.51  0.34 11.110  0.026 10.507  0.026 10.213  0.025
25.48 44.01 11.10  0.53  0.22 12.513  0.025 11.895  0.026 11.622  0.022
15.52 41.97 17.27  0.76  0.17 12.014  0.021 11.389  0.023 11.127  0.018
24.70 43.84 11.76  0.53  0.62  9.910  0.021  9.294  0.021  9.132  0.019
27.66 42.06 17.06 -0.23  0.12 11.916  0.021 11.372  0.023 11.048  0.021
17.44 44.39  9.48 -0.76  0.57  9.789  0.021  9.106  0.021  8.932  0.022
21.37 42.53 15.87 -1.80  0.12 12.141  0.024 11.501  0.022 11.191  0.018
27.19 44.69  7.91  1.31  0.81  8.873  0.027  8.457  0.036  8.277  0.018
18.70 44.18 10.41 -1.54  0.25 11.850  0.022 11.230  0.020 10.952  0.017
26.59 41.17 19.10 -0.63  1.05  7.705  0.019  7.350  0.024  7.262  0.017
21.07 44.76  7.55 -0.38  0.58  9.756  0.021  9.133  0.024  8.942  0.023
17.25 42.36 16.31  0.23  0.56  9.513  0.022  8.873  0.021  8.652  0.018
28.57 44.21 10.29 -0.87  0.41 11.044  0.024 10.388  0.023 10.169  0.023
26.50 41.61 18.13 -0.77  0.21 12.410  0.020 11.820  0.022 11.567  0.018
27.63 44.38  9.52 -0.57  0.29 11.973  0.022 11.425  0.021 11.133  0.020
27.20 43.22 13.86  1.65  0.20 10.975  0.026 10.405  0.024 10.124  0.023
18.41 43.00 14.54 -2.26  0.42 10.290  0.021  9.664  0.022  9.421  0.017
28.97 42.19 16.73  2.08  1.02  6.833  0.024  6.419  0.040  6.265  0.026
19.78 43.11 14.20  1.80  0.12 13.164  0.023 12.556  0.022 12.252  0.020
20.25 44.97  6.16  0.87  0.65  9.166  0.030  8.535  0.036  8.389  0.019
27.38 43.46 13.09 -0.76  0.26  9.876  0.021  9.350  0.022  9.044  0.018
20.54 45.10  5.16  0.00  0.60  9.073  0.021  8.363  0.044  8.154  0.027
16.74 34.10 29.95 -0.80  0.10 13.122  0.022 12.421  0.023 11.997  0.018
29.98 39.40 22.59  2.10  0.14 13.700  0.029 13.094  0.023 12.744  0.033
14.69 42.60 15.63 -1.76  0.15 13.326  0.024 12.761  0.035 12.211  0.024
 3.52 39.70 21.98 -0.40  0.13 13.128  0.026 12.550  0.027 12.203  0.025
29.66 44.70  8.03 -0.56  0.23 12.616  0.021 12.009  0.019 11.734  0.019
21.92 39.00 23.22 -3.74  0.17 12.750  0.023 12.166  0.022 11.856  0.018
28.48 41.90 17.47  0.13  0.34 11.369  0.021 10.740  0.022 10.498  0.018
29.06 22.50 39.43  3.00  0.11 12.452  0.029 11.825  0.022 11.430  0.025
 6.64 37.60 25.36 -1.34  0.14 12.711  0.021 12.060  0.022 11.668  0.020
16.29 35.80 27.87  1.19  0.20 11.602  0.022 10.988  0.022 10.748  0.023
17.25 43.20 14.05 -1.52  0.15 13.108  0.026 12.512  0.032 12.239  0.023
 9.06 38.00 24.84 -0.49  0.15 13.088  0.023 12.455  0.022 12.074  0.023
10.96 33.00 31.13  0.20  0.11 13.217  0.022 12.608  0.026 12.241  0.021
 5.36 37.20 26.07 -0.53  0.14 12.692  0.025 12.128  0.038 11.842  0.033
 8.21 39.80 21.74 -2.08  0.14 13.237  0.023 12.620  0.022 12.305  0.023
23.49 27.90 35.77 -0.27  0.15 11.806  0.026 11.216  0.027 10.884  0.024
26.14 44.10 10.70 -1.55  0.14 13.602  0.030 13.025  0.027 12.671  0.030
 4.62 39.70 22.01 -1.43  0.11 13.676  0.024 13.129  0.028 12.675  0.026
24.04 42.20 16.59  2.67  0.17 13.149  0.021 12.581  0.024 12.254  0.023
 5.89 37.60 25.42  0.09  0.19 12.446  0.022 11.865  0.023 11.512  0.022
 7.76 36.20 27.33 -1.27  0.15 12.854  0.020 12.230  0.026 11.862  0.022
 7.14 38.40 24.15  0.11  0.12 13.529  0.022 12.907  0.024 12.568  0.022
 3.91 37.10 26.13 -2.97  0.12 13.143  0.022 12.535  0.024 12.213  0.021
26.32 42.10 16.89 -0.66  0.20 13.037  0.027 12.486  0.030 12.113  0.022
 8.90 34.40 29.61 -0.89  0.15 12.612  0.022 12.014  0.021 11.643  0.021
 4.82 37.50 25.57 -0.80  0.12 13.494  0.024 12.862  0.027 12.508  0.024
 3.41 38.80 23.53  1.39  0.11 13.705  0.025 12.986  0.021 12.613  0.022
25.68 35.50 28.25 -3.86  0.36 11.232  0.022 10.664  0.027 10.371  0.020
26.73 37.60 25.46 -0.52  0.24 11.677  0.023 11.039  0.024 10.770  0.022
27.98 39.60 22.20 -0.80  0.19 12.313  0.024 11.733  0.022 11.422  0.022
29.37 38.00 24.80 -1.11  0.36 10.734  0.022 10.122  0.021  9.844  0.018
 3.00 38.40 24.23 -2.30  0.15 12.870  0.025 12.278  0.027 11.907  0.025
15.73 41.60 18.24 -0.60  0.17 12.944  0.023 12.326  0.021 12.004  0.022
24.29 34.80 29.16  1.69  0.31 11.311  0.023 10.672  0.032 10.415  0.023
 1.62 39.10 23.11  0.77  0.15 12.629  0.023 12.070  0.027 11.715  0.023
11.91 40.00 21.36 -1.14  0.14 13.089  0.021 12.546  0.023 12.175  0.017
10.19 33.20 30.95 -0.84  0.14 12.698  0.021 12.061  0.023 11.728  0.020
29.72 40.60 20.32  1.48  0.09 13.084  0.024 12.220  0.022 11.638  0.027
16.72 40.50 20.48  2.80  0.10 14.063  0.029 13.437  0.035 12.994  0.025
 8.10 37.50 25.56 -0.07  0.11 13.940  0.026 13.349  0.024 12.926  0.028
21.64 43.20 14.04 -2.19  0.40 11.101  0.024 10.513  0.022 10.273  0.019
26.55 41.90 17.43 -0.30  0.19 13.091  0.036 12.498  0.042 12.190  0.025
18.53 27.60 36.00  1.66  0.13 12.986  0.024 12.427  0.030 12.023  0.018
 7.23 39.00 23.27 -1.12  0.13 13.079  0.023 12.493  0.024 12.134  0.023
13.98 40.60 20.33 -0.97  0.13 13.668  0.023 12.977  0.030 12.522  0.030
 9.45 35.90 27.78  0.31  0.15 12.488  0.024 11.881  0.025 11.585  0.026
17.96 40.50 20.43  0.69  0.19 12.289  0.024 11.662  0.025 11.345  0.021
29.14 16.20 42.40 -0.70  0.13 12.772  0.023 12.166  0.028 11.838  0.019
 6.93 39.90 21.59 -1.14  0.11 13.775  0.024 13.121  0.023 12.724  0.026
26.98 37.60 25.36  3.01  0.43 10.343  0.023  9.783  0.021  9.519  0.018
15.57 38.00 24.81 -3.76  0.45  9.490  0.021  8.906  0.029  8.634  0.017
14.50 31.10 33.08 -1.26  0.14 12.386  0.023 11.751  0.022 11.385  0.018
24.61 21.70 39.86  1.31  0.14 12.461  0.021 11.826  0.019 11.466  0.019
22.30 39.20 22.84  2.10  0.32 10.667  0.020 10.103  0.021  9.839  0.018
20.52 41.30 18.91 -0.03  0.19 12.842  0.021 12.224  0.023 11.927  0.020
25.01 25.40 37.59 -1.23  0.24 12.044  0.022 11.425  0.026 11.141  0.021
19.99 43.20 14.04 -1.71  0.23 12.172  0.024 11.600  0.023 11.282  0.027
20.89 42.90 14.93 -0.12  0.16 13.111  0.023 12.561  0.023 12.237  0.025
20.10 29.50 34.51 -0.37  0.15 12.449  0.021 11.897  0.030 11.538  0.022
14.18 34.40 29.62  0.76  0.11 12.967  0.021 12.213  0.022 11.779  0.018
 7.29 40.90 19.72 -2.02  0.15 12.504  0.025 11.891  0.032 11.534  0.026
28.17 43.70 12.33 -0.12  0.19 13.009  0.030 12.409  0.031 12.055  0.031
